Продукт,Калорийность,Белки,Жиры,Углеводы
Картофель по-Деревенски Малый [Ростик'c - KFC],212 кКал,"2,4 г","13,9 г","19,4 г"
Картофель Фри [Ростик'c - KFC],276 кКал,"3,8 г","15,5 г","30,1 г"
Картофель Фри Маленькая [Ростик'c - KFC],193 кКал,"2,7 г","10,9 г","21,1 г"
Картофель Фри Малый [Ростик'c - KFC],166 кКал,"3,8 г","15,5 г","30,1 г"
Картофель Фри Стандартный [Ростик'c - KFC],331 кКал,"4,6 г","18,6 г","36,1 г"
Картофельные Кранчи Фри [Ростик'c - KFC],233 кКал,"2,6 г","18,8 г","13,1 г"
Картофельный Хашбраун [Ростик'c - KFC],534 кКал,"2,4 г",52 г,"14,1 г"
Картошка Фри [Ростик'c - KFC],276 кКал,"3,8 г","15,5 г","30,1 г"
Кекс Апельсиновый [Ростик'c - KFC],414 кКал,"4,9 г","22,8 г","47,4 г"
Кекс Шоколадно-Апельсиновый [Ростик'c - KFC],436 кКал,"5,4 г","24,8 г","47,8 г"
Кекс Шоколадно-Апельсиновый [Ростик'c - KFC],131 кКал,"1,6 г","7,4 г","14,3 г"
Кетчуп [Ростик'c - KFC],110 кКал,1 г,"0,1 г",25 г
Классик [Ростик'c - KFC],345 кКал,"17,1 г","13,8 г","38,2 г"
Клубничный Дайкири [Ростик'c - KFC],188 кКал,0 г,0 г,"47,2 г"
"Кофе Американо 0,3 [Ростик'c - KFC]",78 кКал,"0,6 г","1,5 г","15,6 г"
"Кофе Глясе 0,2 [Ростик'c - KFC]",86 кКал,2 г,"2,6 г","13,8 г"
"Кофе Капучино 0,3 [Ростик'c - KFC]",119 кКал,"3,5 г","2,5 г","20,7 г"
"Кофе Капучино без Сахара 0,3 [Ростик'c - KFC]",59 кКал,"3,7 г","2,1 г","5,9 г"
"Кофе Латте 0,3 [Ростик'c - KFC]",157 кКал,"5,8 г","3,9 г","24,5 г"
"Кофе Латте 0,4 [Ростик'c - KFC]",169 кКал,"7,9 г","4,7 г","24,8 г"
Криспи Чипс [Ростик'c - KFC],444 кКал,5 г,"34,3 г","28,9 г"
Крылышки [Ростик'c - KFC],678 кКал,"35,9 г","44,7 г","33,3 г"
Крылья Острые (3) [Ростик'c - KFC],254 кКал,"13,4 г","16,8 г","12,5 г"
Крылья Острые [Ростик'c - KFC],304 кКал,"19,6 г","20,8 г","9,8 г"
Кукуруза [Ростик'c - KFC],104 кКал,"1,8 г","4,2 г","14,9 г"
Куриная Ножка с Соусом Терияки [Ростик'c - KFC],230 кКал,"16,9 г",12 г,14 г
Куриные Крылышки [Ростик'c - KFC],304 кКал,"19,6 г","20,8 г","9,8 г"
КУРИНЫЕ КРЫЛЫШКИ 3 шт/27г (порция 81 гр) [Ростик'c - KFC],"254,3 кКал","13,4 г","16,8 г","12,5 г"
КУРИНЫЕ КРЫЛЫШКИ 5 шт/27г (порция 135 гр) [Ростик'c - KFC],"423,9 кКал","22,4 г","27,9 г","20,8 г"
КУРИНЫЕ КРЫЛЫШКИ 8 шт/27г (порция 216 гр) [Ростик'c - KFC],"678,2 кКал","35,9 г","44,7 г","33,3 г"
Куриные Ножки [Ростик'c - KFC],229 кКал,21 г,"12,7 г","7,7 г"
Куриный Хот-Дог [Ростик'c - KFC],226 кКал,"9,6 г","10,1 г","24,3 г"
КУРИНЫЙ ШАШЛЫК (порция 130 гр) [Ростик'c - KFC],182 кКал,"32,4 г","5,7 г","0,3 г"
Куриный Шашлык [Ростик'c - KFC],182 кКал,"32,4 г","5,7 г","0,3 г"
"Латте 0,4 [Ростик'c - KFC]",47 кКал,"2,2 г","1,3 г","6,9 г"
Лимонад Барбарис [Ростик'c - KFC],50 кКал,0 г,0 г,"12,6 г"
Лимонад Ванильный Дюшес [Ростик'c - KFC],182 кКал,0 г,0 г,"45,5 г"
"ЛОВЕНБРАУ ОРИГИНАЛЬНОЕ 0,3л (порция 300 гр) [Ростик'c - KFC]",138 кКал,0 г,0 г,"14,1 г"
"ЛОВЕНБРАУ ОРИГИНАЛЬНОЕ 0,5л (порция 500 гр) [Ростик'c - KFC]",230 кКал,0 г,0 г,"23,5 г"
Лонгер [Ростик'c - KFC],218 кКал,"12,7 г","6,6 г",27 г
Лонгер BBQ [Ростик'c - KFC],236 кКал,"9,7 г","7,1 г","33,3 г"
ЛОНГЕР оригинальный (порция 117 гр) [Ростик'c - KFC],296 кКал,"12,9 г",13 г,"31,9 г"
Лонгер Оригинальный [Ростик'c - KFC],296 кКал,"12,9 г",13 г,"31,9 г"
ЛОНГЕР острый (порция 113 гр) [Ростик'c - KFC],"248,6 кКал","12,3 г","6,4 г","35,3 г"
Лонгер Острый [Ростик'c - KFC],249 кКал,"12,3 г","6,4 г","35,3 г"
Лонгер Чиз [Ростик'c - KFC],268 кКал,"12,9 г","12,3 г","26,5 г"
Маффин Тоффи [Ростик'c - KFC],475 кКал,"5,5 г","24,4 г",58 г
Микс Бокс [Ростик'c - KFC],409 кКал,"29,1 г","23,1 г","21,2 г"
"Милк Шейк Шоколадно-Ореховый 0,25 [Ростик'c - KFC]",215 кКал,"4,8 г","4,5 г",39 г
Милкшейк  Лесная Клубника [Ростик'c - KFC],143 кКал,"3,4 г","3,5 г","27,2 г"
Милкшейк Ваниль [Ростик'c - KFC],76 кКал,"1,9 г","1,8 г","13,2 г"
Милкшейк Чёрная Смородина [Ростик'c - KFC],92 кКал,"2,2 г","2,1 г",16 г
Милкшейк Шоколадно-Ореховый [Ростик'c - KFC],86 кКал,"1,9 г","1,8 г","15,6 г"
"Милкшейк Шоколадно-Ореховый 0,25 [Ростик'c - KFC]",215 кКал,"4,8 г","4,5 г",39 г
МИНИ ТВИСТЕР оригинальный (порция 104 гр) [Ростик'c - KFC],"267,3 кКал","10,5 г","12,3 г","28,7 г"
Мини Твистер Оригинальный [Ростик'c - KFC],267 кКал,"10,5 г","12,3 г","28,7 г"
МИНИ ТВИСТЕР острый (порция 104 гр) [Ростик'c - KFC],"254,8 кКал","9,9 г","10,9 г","29,2 г"
Мой Баскет с Байтс [Ростик'c - KFC],223 кКал,"17,8 г","14,5 г","5,3 г"
Мой Баскет с Крыльями [Ростик'c - KFC],223 кКал,"17,8 г","14,5 г","5,3 г"
Молочный Коктейль [Ростик'c - KFC],154 кКал,"3,4 г","3,5 г","27,2 г"
Молочный Коктейль Пина Колада [Ростик'c - KFC],90 кКал,"1,9 г","1,6 г","16,9 г"
"Мороженое ""Летняя Фантазия"" [Ростик'c - KFC]",168 кКал,"4,7 г","4,8 г","26,5 г"
Мороженое [Ростик'c - KFC],168 кКал,"4,7 г","4,8 г","26,5 г"
Мороженое Kit Kat [Ростик'c - KFC],196 кКал,"3,2 г","5,8 г","32,7 г"
Мороженое Айс Дрим Клубника [Ростик'c - KFC],173 кКал,"3,6 г","3,4 г",32 г
Мороженое Айс Дрим Шоколад [Ростик'c - KFC],272 кКал,"6,2 г","5,6 г","49,4 г"
Мороженое Айсдрим Клубника [Ростик'c - KFC],252 кКал,"5,5 г","5,1 г","46,2 г"
Мороженое в Рожке [Ростик'c - KFC],131 кКал,"3,7 г","3,3 г","21,5 г"
Мороженое Карамельное [Ростик'c - KFC],158 кКал,"2,8 г","3,2 г","29,4 г"
Мороженое Сникерс [Ростик'c - KFC],186 кКал,"3,7 г","6,1 г","29,1 г"
Мороженое Шоколадное [Ростик'c - KFC],154 кКал,3 г,"3,1 г","28,5 г"
Мохито [Ростик'c - KFC],182 кКал,0 г,0 г,"45,5 г"
Наггетсы [Ростик'c - KFC],249 кКал,"10,7 г","15,3 г","16,9 г"
Напиток Черная Смородина [Ростик'c - KFC],144 кКал,0 г,0 г,"36,1 г"
Ножка (3) [Ростик'c - KFC],458 кКал,"38,2 г","26,3 г","17,2 г"
Овсяная Каша [Ростик'c - KFC],94 кКал,"3,3 г","1,9 г",16 г
Острые Крылышки [Ростик'c - KFC],254 кКал,"13,4 г","16,8 г","12,5 г"
Острый Шефбургер [Ростик'c - KFC],239 кКал,"10,7 г","10,1 г","26,2 г"
Острый Шефбургер Де Люкс [Ростик'c - KFC],453 кКал,25 г,"22,8 г","36,9 г"
Панини [Ростик'c - KFC],519 кКал,"24,7 г","21,3 г","56,8 г"
Пати-Баскет [Ростик'c - KFC],437 кКал,"16,8 г","23,9 г","38,5 г"
Печенье Шоколадное с Белым Шоколадом и Фундуком [Ростик'c - KFC],469 кКал,"7,1 г","20,6 г","63,7 г"
Пирожное Черный Лес [Ростик'c - KFC],478 кКал,"2,7 г","19,2 г","73,6 г"
Пирожок Малина-Черника [Ростик'c - KFC],308 кКал,"3,6 г","20,8 г","26,8 г"
Пирожок с Вишней [Ростик'c - KFC],246 кКал,"2,5 г","11,9 г","32,1 г"
Пирожок с Творогом [Ростик'c - KFC],261 кКал,"5,3 г",17 г,"26,6 г"
Пирожок с Яблоком [Ростик'c - KFC],303 кКал,"2,9 г","17,7 г","32,9 г"
Пончик [Ростик'c - KFC],231 кКал,"2,9 г",11 г,"29,3 г"
Райзер [Ростик'c - KFC],220 кКал,"11,3 г","8,5 г","24,7 г"
Ризотто с Грибами [Ростик'c - KFC],207 кКал,8 г,"9,6 г","22,2 г"
Рисбокс Терияки [Ростик'c - KFC],357 кКал,"16,8 г","9,2 г","51,8 г"
Рождественский Бургер [Ростик'c - KFC],258 кКал,"12,7 г","12,9 г","22,8 г"
Рожок [Ростик'c - KFC],131 кКал,"3,7 г","3,3 г","21,5 г"
Рожок в Глазури [Ростик'c - KFC],171 кКал,"3,4 г","6,3 г","25,3 г"
Салат Веджи [Ростик'c - KFC],54 кКал,2 г,"2,6 г","5,4 г"
Салат Коул Слоу [Ростик'c - KFC],108 кКал,"1,4 г","6,9 г","9,9 г"
Салат Летний [Ростик'c - KFC],105 кКал,"6,5 г","5,9 г","6,4 г"
Салат Терияки [Ростик'c - KFC],257 кКал,"14,7 г","8,6 г","30,4 г"
Салат Цезарь [Ростик'c - KFC],124 кКал,"11,1 г","5,9 г","6,6 г"
Салат Цезарь Лайт без Соуса [Ростик'c - KFC],137 кКал,"10,6 г","7,3 г","7,3 г"
Салат Цезарь Лайт без Соуса [Ростик'c - KFC],137 кКал,"10,6 г","7,3 г","7,3 г"
САНДВИЧ ЗИНГЕР (порция 157 гр) [Ростик'c - KFC],"362,7 кКал","18,2 г","16,8 г","34,9 г"
САНДВИЧ КЛАССИК (порция 157 гр) [Ростик'c - KFC],"345,4 кКал","17,1 г","13,8 г","38,2 г"
Сандвич Чикен Барбекю [Ростик'c - KFC],320 кКал,"15,7 г","11,4 г","38,7 г"
Сандерс [Ростик'c - KFC],212 кКал,"10,5 г","6,1 г","28,8 г"
Сандерс Баскет [Ростик'c - KFC],295 кКал,"25,1 г","16,7 г","11,2 г"
Сахар [Ростик'c - KFC],400 кКал,0 г,0 г,100 г
"СИБИРСКАЯ КОРОНА 0,3л (порция 300 гр) [Ростик'c - KFC]",138 кКал,0 г,0 г,"14,1 г"
"СИБИРСКАЯ КОРОНА 0,5л (порция 500 гр) [Ростик'c - KFC]",230 кКал,0 г,0 г,"23,5 г"
Сладкий Снэк Яблоко [Ростик'c - KFC],203 кКал,"3,5 г","6,6 г","32,3 г"
Соус Бальзамик [Ростик'c - KFC],366 кКал,"0,1 г",40 г,"1,4 г"
Соус Барбекю [Ростик'c - KFC],120 кКал,"1,5 г","0,1 г",29 г
Соус Деликатесный [Ростик'c - KFC],306 кКал,"0,9 г","32,1 г","3,4 г"
Соус Кисло-Сладкий Чили [Ростик'c - KFC],160 кКал,"0,2 г","0,2 г",39 г
"Соус Майонезный ""Цезарь"" [Ростик'c - KFC]",236 кКал,"1,2 г","23,6 г","4,6 г"
Соус Сырный Особый [Ростик'c - KFC],300 кКал,1 г,29 г,"8,5 г"
Соус Терияки [Ростик'c - KFC],170 кКал,"2,5 г",0 г,39 г
"Соус Фруктовый ""Клюквенный"" [Ростик'c - KFC]",148 кКал,"0,1 г",0 г,"36,4 г"
Соус Цезарь [Ростик'c - KFC],236 кКал,"1,3 г",24 г,"3,9 г"
Соус Чесночный [Ростик'c - KFC],340 кКал,"0,5 г",33 г,"8,5 г"
Стар Баскет [Ростик'c - KFC],810 кКал,"55,5 г","46,8 г","41,4 г"
Стрипсы Оригинальные (3) [Ростик'c - KFC],194 кКал,"20,4 г","7,2 г","11,9 г"
Стрипсы Оригинальные (3) [Ростик'c - KFC],194 кКал,"20,4 г","7,2 г","11,9 г"
Стрипсы Оригинальные [Ростик'c - KFC],219 кКал,"21,1 г",10 г,"11,3 г"
Стрипсы Острые [Ростик'c - KFC],240 кКал,"23,1 г","12,8 г","8,1 г"
Стрипсы с Соусом Терияки [Ростик'c - KFC],215 кКал,"15,3 г","8,4 г","19,6 г"
Сырники [Ростик'c - KFC],258 кКал,"13,7 г","11,3 г","25,5 г"
Сырные Подушечки (5) [Ростик'c - KFC],383 кКал,8 г,"25,8 г","29,7 г"
Сырный Соус [Ростик'c - KFC],300 кКал,1 г,29 г,"8,5 г"
Такос Сальса [Ростик'c - KFC],261 кКал,15 г,"12,1 г",23 г
Такос Сырный [Ростик'c - KFC],318 кКал,"15,9 г","18,8 г","21,4 г"
Тауэр Русс [Ростик'c - KFC],554 кКал,"22,1 г","35,8 г","35,7 г"
Твистер Барбекю [Ростик'c - KFC],402 кКал,"18,7 г","16,5 г",45 г
Твистер Веджи [Ростик'c - KFC],269 кКал,"4,6 г",18 г,"22,2 г"
Твистер Де Люкс Оригинальный [Ростик'c - KFC],244 кКал,"12,4 г","9,7 г","26,8 г"
Твистер Де Люкс Оригинальный [Ростик'c - KFC],503 кКал,"25,6 г",21 г,"53,2 г"
Твистер Де Люкс Острый [Ростик'c - KFC],252 кКал,"12,9 г","10,7 г","26,1 г"
Твистер Джуниор [Ростик'c - KFC],237 кКал,"12,5 г","10,7 г","22,6 г"
Твистер Жульен [Ростик'c - KFC],264 кКал,"11,1 г","13,9 г","23,6 г"
Твистер из Тостера Веджи [Ростик'c - KFC],509 кКал,"9,2 г",34 г,"41,1 г"
ТВИСТЕР ИЗ ТОСТЕРА оригинальный (порция 192 гр) [Ростик'c - KFC],"449,3 кКал","19,4 г",19 г,"49,7 г"
Твистер из Тостера Оригинальный [Ростик'c - KFC],423 кКал,"20,2 г","18,4 г","44,3 г"
ТВИСТЕР ИЗ ТОСТЕРА острый (порция 192 гр) [Ростик'c - KFC],"424,3 кКал","18,2 г","16,3 г","50,9 г"
Твистер из Тостера Острый [Ростик'c - KFC],207 кКал,"9,4 г","8,5 г","23,1 г"
Твистер Кентукки BBQ [Ростик'c - KFC],248 кКал,"11,7 г",11 г,"25,5 г"
Твистер Летний [Ростик'c - KFC],242 кКал,"10,7 г","12,2 г","22,2 г"
Твистер Оригинальный [Ростик'c - KFC],401 кКал,"22,1 г","15,9 г","42,3 г"
Твистер Острый [Ростик'c - KFC],434 кКал,"24,2 г","16,2 г",48 г
Твистер Пепперони [Ростик'c - KFC],447 кКал,20 г,"19,1 г","48,7 г"
Твистер по-Американски [Ростик'c - KFC],426 кКал,19 г,"19,1 г","44,7 г"
Твистер Русс [Ростик'c - KFC],429 кКал,"20,1 г","19,7 г","43,1 г"
Твистер Сальса [Ростик'c - KFC],240 кКал,"11,4 г","10,9 г","24,1 г"
Твистер Терияки [Ростик'c - KFC],439 кКал,"18,9 г","16,2 г","54,8 г"
Твистер Утренний [Ростик'c - KFC],212 кКал,"10,6 г","10,4 г","18,8 г"
Твистер Чиз [Ростик'c - KFC],480 кКал,"21,4 г","22,9 г","46,8 г"
Твистер Чизз-Бекон [Ростик'c - KFC],485 кКал,"23,2 г","23,4 г","45,4 г"
